,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1748,2599,12259055,JE100687,1/1/2021 14:30,072XX S TALMAN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,True,831,8,18.0,66,04A,1159958.0,1856603.0,2021,1/16/2021 15:49,41.76222388,-87.68929661,"(41.762223881, -87.689296613)"
9699,14155,12282840,JE128221,1/29/2021 10:16,0000X E GRAND AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1834,18,42.0,8,6,1176796.0,1903917.0,2021,2/5/2021 15:47,41.89169488,-87.62615583,"(41.891694878, -87.626155832)"
603,889,12264740,JE107069,1/7/2021 16:43,069XX S STEWART AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,732,7,6.0,68,6,1174824.0,1858905.0,2021,1/16/2021 15:49,41.76822249,-87.63474229,"(41.768222491, -87.63474229)"
20369,29532,12308071,JE159950,3/5/2021 11:45,011XX W JACKSON BLVD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1232,12,25.0,28,6,1168933.0,1898798.0,2021,3/12/2021 15:54,41.87782218,-87.65518141,"(41.877822179, -87.655181405)"
22895,33306,12313385,JE166669,3/12/2021 8:57,006XX N LAKE SHORE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1834,18,42.0,8,11,1179651.0,1905033.0,2021,3/19/2021 16:51,41.89469218,-87.61563657,"(41.894692183, -87.615636574)"
25977,37752,12320127,JE174959,3/21/2021 5:04,016XX N MC VICKER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2513,25,29.0,25,14,1135830.0,1910237.0,2021,3/28/2021 16:57,41.9098657,-87.77645615,"(41.909865701, -87.776456145)"
23110,33597,12313721,JE167096,3/12/2021 16:40,062XX S RACINE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,False,False,713,7,16.0,67,14,1169393.0,1863312.0,2021,3/19/2021 16:51,41.78043517,-87.65452195,"(41.780435167, -87.654521948)"
17367,25169,12301295,JE152311,2/25/2021 18:00,0000X S LA SALLE ST,810,THEFT,OVER $500,RESTAURANT,False,False,122,1,42.0,32,6,1175138.0,1900243.0,2021,3/4/2021 15:52,41.88165055,-87.63235507,"(41.881650549, -87.632355065)"
15705,22777,12297653,JE147828,2/20/2021 19:00,012XX S ASHLAND AVE,820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,1233,12,28.0,28,6,1165915.0,1894701.0,2021,2/27/2021 15:46,41.86664457,-87.66637959,"(41.866644572, -87.666379591)"
4167,6266,12270450,JE113561,1/14/2021 14:40,088XX S CONSTANCE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,412,4,8.0,48,6,1190053.0,1846820.0,2021,1/21/2021 15:51,41.73470719,-87.57930973,"(41.734707185, -87.579309729)"
